#configure_file ("digger.png" ${CMAKE_BINARY_DIR} COPYONLY)
#configure_file ("Wall.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Kirby_Normal.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Kirby.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Map.1.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Level_1-1.txt" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("level1_floor.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Kirby_level1_map.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("kirbySpit.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("swordEnemy.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("tiny_kirby.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("BG.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("AirSuck1.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("kirbyStar.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("swordKirby.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("iceKirby.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("fireKirby.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("plantEnemy.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("waddle.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Fire.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("fireEnemy.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("flyingEnemy.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("deadAnimation.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("menubackround.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Menu_EXIT2.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Menu_play2.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Menu_Help2.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Menu_Back.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("helpMenu.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("apple.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("kirbyLife.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("Ice.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("backStarEnemy.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("iceManEnemy.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("backStarEnemy.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("loseScreen.png" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("winScreen.png" ${CMAKE_BINARY_DIR} COPYONLY)

configure_file ("airPuff_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("airSuck_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("enemyDead_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("fire_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("fly_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("gift_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("hitByEnemy_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("jump_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("lose_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("soperPower_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("starHit_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("starShoot_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("swallow_s.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("ka1.ttf" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("LoseSong.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("WinSong.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("MenuSong.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("GameSong.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("shootingIce.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("mouseSound.wav" ${CMAKE_BINARY_DIR} COPYONLY)
configure_file ("starDead.wav" ${CMAKE_BINARY_DIR} COPYONLY)




